Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
158438,430 N Michigan Ave,60611,Commercial,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.8903758,-87.62467983,"(41.8903758, -87.62467983)"
120980,3400 W DIVISION,60651,Commercial,"50,000 - 250,000 Sq Ft",2019,HUMBOLDT PARK,23,26,41.90280838,-87.71178755,"(41.90280838, -87.71178755)"
244360,1720 S Michigan Ave,60616,Residential,"> 250,000 Sq Ft",2021,NEAR SOUTH SIDE,33,3,41.85862339,-87.62421069,"(41.85862339, -87.62421069)"
251786,642 W Deming Pl,60614,Commercial,"50,000 - 250,000 Sq Ft",2021,LINCOLN PARK,7,43,41.927944,-87.645176,"(41.927944, -87.645176)"
251941,5450 N Cumberland Ave,60656,Commercial,"50,000 - 250,000 Sq Ft",2019,OHARE,76,41,41.9787887,-87.83785106,"(41.9787887, -87.83785106)"
255010,949 N ELSTON AVE,60642,Commercial,"50,000 - 250,000 Sq Ft",2021,West Town,24,27,41.89962673,-87.65662412,"(41.89962673, -87.65662412)"
251677,3116 W Belden Ave,60647,Municipal,"50,000 - 250,000 Sq Ft",2019,LOGAN SQUARE,22,32,41.92353186,-87.70529839,"(41.92353186, -87.70529839)"
238266,25 E Superior St,60611,Residential,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.89530417,-87.62727758,"(41.89530417, -87.62727758)"
254536,220 E Illinois St,60611,Residential,"> 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.89535128,-87.62272623,"(41.89535128, -87.62272623)"
101675,5615 N CUMBERLAND AVE,60631,Residential,"> 250,000 Sq Ft",2019,NORWOOD PARK,10,41,41.98187009,-87.83561493,"(41.98187009, -87.83561493)"
130910,1279 N MILWAUKEE AVE,60622,Commercial,"50,000 - 250,000 Sq Ft",2021,WEST TOWN,24,1,41.91320618,-87.68140368,"(41.91320618, -87.68140368)"
105858,546 550 W ARLINGTON PL,60614,Residential,"50,000 - 250,000 Sq Ft",2019,LINCOLN PARK,7,43,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
238367,1300 N Lake Shore Dr,60610,Residential,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,43,41.90617206,-87.6258565,"(41.90617206, -87.6258565)"
251531,2601 W 80th St,60652,Municipal,"50,000 - 250,000 Sq Ft",2019,ASHBURN,70,18,41.74765485,-87.68774592,"(41.74765485, -87.68774592)"
103611,105 W Adams St,60603,Commercial,"50,000 - 250,000 Sq Ft",2019,LOOP,32,42,41.879395,-87.630986,"(41.879395, -87.630986)"
101968,30 N Michigan Ave,60602,Commercial,"50,000 - 250,000 Sq Ft",2019,LOOP,32,42,41.88298879,-87.62497233,"(41.88298879, -87.62497233)"
251466,3615 W 16th St,60623,Municipal,"50,000 - 250,000 Sq Ft",2019,NORTH LAWNDALE,29,24,41.85849301,-87.71580684,"(41.85849301, -87.71580684)"
129735,2649 E 75th St,60649,Residential,"50,000 - 250,000 Sq Ft",2021,SOUTH SHORE,43,7,41.759248,-87.559768,"(41.759248, -87.559768)"
251722,6315 S Claremont Ave,60636,Municipal,"50,000 - 250,000 Sq Ft",2019,CHICAGO LAWN,66,16,41.778895,-87.682265,"(41.778895, -87.682265)"
161204,3241 S Michigan Ave,60616,Commercial,"> 250,000 Sq Ft",2019,DOUGLAS,35,3,41.83550388,-87.62254535,"(41.83550388, -87.62254535)"
140123,4469 4479 N ELSTON AVE,60630,Residential,"50,000 - 250,000 Sq Ft",2019,ALBANY PARK,14,39,41.97200414,-87.75756578,"(41.97200414, -87.75756578)"
173642,230 E Ohio St,60611,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.89260773,-87.62161072,"(41.89260773, -87.62161072)"
251591,2450 W Rice St,60622,Municipal,"50,000 - 250,000 Sq Ft",2019,WEST TOWN,24,26,41.8971019,-87.68854703,"(41.8971019, -87.68854703)"
251287,8101 W Higgins Rd,60631,Residential,"50,000 - 250,000 Sq Ft",2021,NORWOOD PARK,10,41,41.98515127,-87.83015397,"(41.98515127, -87.83015397)"
160392,1120 N LaSalle St,60610,Residential,"50,000 - 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,27,41.902342,-87.632913,"(41.902342, -87.632913)"
136887,5050 S Kedzie Ave,60632,Commercial,"50,000 - 250,000 Sq Ft",2019,GAGE PARK,63,14,41.80188308,-87.70454381,"(41.80188308, -87.70454381)"
103052,825 835 W CORNELIA AVE,60657,Residential,"50,000 - 250,000 Sq Ft",2019,LAKE VIEW,6,44,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
