Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2017,174260,Bridgeview Bank- Uptown,4753 N Broadway St,60640,UPTOWN,Office,165487,1924,1,91,4978913,7976996,,,,78.3,145.1,82.4,149,1344.3,8.1,41.96873677,-87.65917186,"(41.96873677, -87.65917186)"
2017,158219,Chicago Swissotel,323 East Wacker Drive,60601,LOOP,Hotel,709823,1988,1,33,36096162,44901400,,,,114.1,226.1,117.5,229.5,9058.9,12.8,41.88733545,-87.61948961,"(41.88733545, -87.61948961)"
2017,159897,Shoreland,5454 S Shore Drive,60615,HYDE PARK,Multifamily Housing,638697,1925,1,94,9577327,15048800,,,,38.6,71.8,40.8,74.8,2570.1,4,41.79623549,-87.58150358,"(41.79623549, -87.58150358)"
2017,108602,Lathrop Elderly,2717 N Leavitt St,60647,LINCOLN PARK,Multifamily Housing,70732,1990,1,59,1285853,5079000,,,,90,132.5,96,138.8,507.5,7.2,41.92075046,-87.70152825,"(41.92075046, -87.70152825)"
2017,251784,Quigley Pastoral Center-Quigley,835 North Rush Street,60611,NEAR NORTH SIDE,Office,84100,1951,1,49,4760027,4649017,,,,111.9,235.8,117.9,242.1,1127,13.4,41.897777,-87.626051,"(41.897777, -87.626051)"
2017,251570,Mcauliffe-CPS,1845 N Springfield Ave,60647,HERMOSA,K-12 School,90799,1985,1,26,5010160,703437,,,,62.9,181.4,65.2,187.3,963.7,10.6,41.914723,-87.723994,"(41.914723, -87.723994)"
2017,119215,919 S California Ave.,919 S California Avenue,60612,EAST GARFIELD PARK,Other,85000,2002,1,,6063107,2151598,,,,96.6,250.6,101,255.6,1235.3,14.5,41.869931,-87.695949,"(41.869931, -87.695949)"
2017,251643,West Park Ac-CPS,1425 N TRIPP AVE,60651,HUMBOLDT PARK,K-12 School,81350,1996,1,12,2938649,5311530,,,,101.4,182,108.7,189.6,825.5,10.1,41.90686643,-87.73217473,"(41.90686643, -87.73217473)"
2017,165606,Museum of Contemporary Art,220 E. Chicago Avenue,60611,NEAR NORTH SIDE,Museum,300000,1996,2,,16621476,10435724,,,,90.2,210.5,90,210,3627.5,12.1,41.89722484,-87.6210481,"(41.89722484, -87.6210481)"
2017,103594,NBC Tower,455 North Cityfront Plaza Drive,60611,NEAR NORTH SIDE,Office,939350,1988,1,84,82788256,,,,,88.1,276.7,88.1,276.7,15307.1,16.3,41.890071,-87.621562,"(41.890071, -87.621562)"
2017,101707,111 East Wacker Drive,111 East Wacker Drive,60601,LOOP,Office,1140247,1969,1,70,54466609,57555436,,,,98.2,203,104.5,209.7,13127.6,11.5,41.8876921,-87.62356505,"(41.8876921, -87.62356505)"
2017,252058,Logan Arts Center,915 E 60th St.,60637,WOODLAWN,Performing Arts,188821,2011,1,,6592206,,24826042,7000920,,203.5,304.9,208.7,311,3236.2,17.1,41.785854,-87.603817,"(41.785854, -87.603817)"
2017,160279,Millennium Park Plaza,151-155 N Michigan Ave,60601,LOOP,Multifamily Housing,610694,1982,1,1,47486647,24301837,,,,117.6,285.9,122.8,295.9,10070.8,16.5,41.88468249,-87.62412202,"(41.88468249, -87.62412202)"
2017,251780,Holy Name Cathedral Parish,735 North State Street,60611,NEAR NORTH SIDE,Worship Facility,167834,1936,6,,5969079,12172273,,,,108.1,187.8,115.7,195.8,1750.2,10.4,41.89582933,-87.62812742,"(41.89582933, -87.62812742)"
2017,232458,4800-50 South Lake Park Ave,4800-50 South Lake Park Ave,60615,KENWOOD,Multifamily Housing,627860,1974,2,39,15590407,47289218,,,,100.1,157.1,107.2,165.2,5394.3,8.6,41.80747487,-87.59126397,"(41.80747487, -87.59126397)"
2017,100372,Building,2701 W. 68th Street,60629,CHICAGO LAWN,Hospital (General Medical & Surgical),409910,1911,1,10,35184544,119199985,,,,376.6,574.9,,,12836.7,31.3,41.770003,-87.690841,"(41.770003, -87.690841)"
2017,101900,"WASHINGTON FRANKLIN, LLC",309 W. WASHINGTON ST,60606,LOOP,Office,105313,1922,1,81,4475244,3890931,,,,79.4,172.2,84.6,176.6,1034.1,9.8,41.88299541,-87.63565914,"(41.88299541, -87.63565914)"
2017,150992,4101-4113 N Kedzie Ave: 4113 North Kedzie Avenue,4113 North Kedzie Avenue,60618,IRVING PARK,Multifamily Housing,53252,1929,1,8,448265,6224947,,,,125.3,149.2,125.3,149.2,413.5,7.8,41.94672055,-87.70319673,"(41.94672055, -87.70319673)"
2017,251459,Casals Eleme-CPS,3501 W Potomac Ave,60651,HUMBOLDT PARK,K-12 School,66550,1988,1,23,2719661,4344825,,,,106.2,196.9,115.5,208.3,733.6,11,41.90419008,-87.71412545,"(41.90419008, -87.71412545)"
2017,251321,1150 West Fullerton Building,1150 W. Fullerton,60614,LINCOLN PARK,College/University,52043,1994,1,,1785571,1719153,,,,67.3,142.4,72.3,150.4,421.5,8.1,41.92559618,-87.65814781,"(41.92559618, -87.65814781)"
2017,251909,Garvy Elemen-CPS,5225 N Oak Park Ave,60656,NORWOOD PARK,K-12 School,79665,1937,1,46,2674345,3516766,,,,77.7,151.8,84,158.3,681.3,8.6,41.9763901,-87.79592032,"(41.9763901, -87.79592032)"
2017,244826,Park Tower Condominium Association,5415 N. Sheridan Rd.,60640,EDGEWATER,Multifamily Housing,862821,1971,1,62,18154696,48663416,,,,77.4,125.3,83.9,132.1,5941.5,6.9,41.98030005,-87.65445607,"(41.98030005, -87.65445607)"
2017,116428,Bethel Terrace,900 W 63rd Parkway,60621,ENGLEWOOD,Multifamily Housing,81078,1983,1,4,5884096,2149055,,,,99.1,255.7,105,270.8,1202.1,14.8,41.7761313,-87.64068948,"(41.7761313, -87.64068948)"
2017,128800,Lurie Children's Faculty Office Building,155 E. Superior Street,60611,NEAR NORTH SIDE,Office,82717,1917,1,50,4804338,7738181,,,,151.6,280.6,156.6,285.8,1299.3,15.7,41.89555178,-87.62318088,"(41.89555178, -87.62318088)"
2017,251228,444 North Wells Street,444 North Wells Street,60654,NEAR NORTH SIDE,Office,73332,1903,1,92,3180397,,,,,43.4,136.2,45.6,143.1,588,8,41.89053894,-87.6340678,"(41.89053894, -87.6340678)"
2017,103598,222 North LaSalle,222 North LaSalle Street,60601,LOOP,Office,1217630,1986,1,90,57611142,1791469,,,31549,48.8,150.1,50.1,154.2,10749.5,8.8,41.88651518,-87.6332446,"(41.88651518, -87.6332446)"
2017,236822,21 W. Chestnut Condominium Association,21 W Chestnut St,60610,NEAR NORTH SIDE,Multifamily Housing,169377,1999,1,52,4791741,7366649,,,,71.8,134.5,76.8,141.1,1277.2,7.5,41.8977317,-87.62883489,"(41.8977317, -87.62883489)"
2017,172797,888 South Michigan Condominium Association,888 S. Michigan Ave.,60605,LOOP,Multifamily Housing,79483,2002,1,12,2688404,4474694,,,,90.1,165.3,94.2,170.2,734.7,9.2,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
2017,100631,Hubbard High-CPS,6200 S Hamlin Ave,60629,WEST LAWN,K-12 School,218200,1929,1,71,4251478,9151553,,,,61.4,105.2,67.3,111.3,1272.2,5.8,41.77984105,-87.71918715,"(41.77984105, -87.71918715)"
2017,165062,Adler Planetarium,1300 S. Lakeshore Dr.,60605,NEAR SOUTH SIDE,Museum,137000,1930,1,,11303216,7210625,,,,135.1,314.3,143.2,321.6,2472.9,18.1,41.86637151,-87.60660909,"(41.86637151, -87.60660909)"
2017,172306,Kingsbaker Court,910 W. Van Buren,60607,NEAR WEST SIDE,Office,77000,1904,1,81,3162689,1907847,,,,65.9,155,71.5,166.4,686.1,8.9,41.87685357,-87.64987929,"(41.87685357, -87.64987929)"
2017,250056,Young-CPS,211 S LAFLIN ST,60607,NEAR WEST SIDE,K-12 School,430443,1975,1,8,27133251,40393232,,,,156.9,296.5,167.2,308.1,7162.3,16.6,41.87825891,-87.6636621,"(41.87825891, -87.6636621)"
2017,251679,Lowell Eleme-CPS,3320 W Hirsch St,60651,HUMBOLDT PARK,K-12 School,121800,1888,1,70,1768583,6499366,,,,67.9,101.6,77.9,112.1,672.2,5.5,41.90669414,-87.71050823,"(41.90669414, -87.71050823)"
2017,101724,Tribune Tower,435 N Michigan Ave,60611,NEAR NORTH SIDE,Office,919420,1925,1,91,36583430,41228044,,,,84.6,172,88,175.6,8953.9,9.7,41.89029185,-87.62406414,"(41.89029185, -87.62406414)"
2017,252126,08270 - Ford City 14,7601 South Cicero Avenue,60652,WEST LAWN,Movie Theater,72545,1990,1,,7170461,4571940,,,,161.9,376.5,166,379.4,1568.6,21.6,41.75582921,-87.73699268,"(41.75582921, -87.73699268)"
2017,112834,Cambridge Commons Condo Association,5519 N WINTHROP AVE,60640,EDGEWATER,Multifamily Housing,59000,1950,1,40,1387838,3655500,,,,85.5,138.9,91.3,144.8,450.8,7.6,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
2017,159728,Lakeside Square Apartments,920 W Lakeside Place,60640,UPTOWN,Multifamily Housing,278070,1989,1,82,5001221,18937063,,,,86.1,128,91.1,133.3,1930.5,6.9,41.96853167,-87.65354801,"(41.96853167, -87.65354801)"
2017,173754,422 West Melrose,422 - 424 West Melrose Street,60657,LAKE VIEW,Multifamily Housing,164485,1926,1,86,1254569,12416036,,,,83.1,103.2,90.7,110.9,891.4,5.4,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2017,106000,HRTL - Harvest Commons: 1519 W Warren Blvd,1519 West Warren Boulevard,60607,NEAR WEST SIDE,Multifamily Housing,51628,2013,1,65,1898627,1613748,,,,68,148.3,70.4,151.9,436.8,8.5,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2017,251582,Fuller-CPS,4214 S Saint Lawrence Ave,60653,GRAND BOULEVARD,K-12 School,91800,1968,1,79,1523282,3301791,,,,52.6,89.9,58.2,95.8,457,5,41.8180688,-87.61228957,"(41.8180688, -87.61228957)"
2017,254051,NewCity Retail,1457 N Halsted St,60642,Near North Side,Other,678977,2015,4,,25726245,5465330,,,,45.9,127.4,48,131.4,5046.9,7.4,41.9038385,-87.63668,"(41.9038385, -87.63668)"
2017,234838,1400 South Michigan,1400 South Michigan Avenue,60605,NEAR SOUTH SIDE,Multifamily Housing,344016,2008,1,66,8991074,14567764,,,,68.5,126.5,72.9,132.7,2436.2,7.1,41.86378484,-87.62455468,"(41.86378484, -87.62455468)"
2017,251657,Locke Elemen-CPS,2845 N Newcastle Ave,60634,MONTCLARE,K-12 School,112000,1927,1,58,3435321,5624869,,,,80.9,149,88.9,158.3,933.9,8.3,41.9321161,-87.79631882,"(41.9321161, -87.79631882)"
2017,251480,Morton Eleme-CPS,431 N Troy St,60612,HUMBOLDT PARK,K-12 School,71504,1967,1,82,1966610,,,,,27.5,86.4,28,87.8,363.6,5.1,41.88926685,-87.70478609,"(41.88926685, -87.70478609)"
2017,254102,3140 N Sheffield,3140 N Sheffield Ave,60657,Lake View,Multifamily Housing,187888,2007,1,72,7413863,2926255,,,,55,140.3,56.3,141.6,1526.2,8.1,41.9393396,-87.65423,"(41.9393396, -87.65423)"
2017,242643,(IL296) - 1400 Museum Park Condo,100 E 14th Street,60605,NEAR SOUTH SIDE,Multifamily Housing,434053,2008,1,37,13354677,23841984,,,,85.7,154.3,91.1,159.6,3735.6,8.6,41.86449617,-87.62369303,"(41.86449617, -87.62369303)"
2017,175264,yusuf north,2753 w. north ave,60647,WEST TOWN,Office,50000,1906,1,78,2101220,1178238,,,,65.6,156.7,69.6,159.7,451.1,9,41.90999631,-87.69652744,"(41.90999631, -87.69652744)"
2017,101708,233 North Michigan Avenue,233 North Michigan Avenue,60601,LOOP,Office,1155516,1972,1,77,46649001,48608734,,,,82.4,170.9,86.8,176.2,11207,9.7,41.8869574,-87.62305507,"(41.8869574, -87.62305507)"
2017,101492,Wright College,4300 North Narragansett,60634,DUNNING,College/University,544380,1993,4,,20136686,33790362,,,,99.1,181.3,103,184.5,5517.9,10.1,41.95813043,-87.78958012,"(41.95813043, -87.78958012)"
2017,251620,Seward Commu-CPS,4600 S HERMITAGE AVE,60609,NEW CITY,K-12 School,98375,1896,1,88,1364156,4069455,,,,55.2,87,61.2,93.3,468.4,4.8,41.80990474,-87.66901222,"(41.80990474, -87.66901222)"
2017,121222,"H/B Winchester, LLC",4500 N Winchester Ave,60640,LINCOLN SQUARE,Multifamily Housing,81094,1968,1,6,2462754,8631112,,,,136.8,207.1,146.7,217.5,913.8,11.3,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
2017,175907,Washington Courts,5424 West Washington,60644,AUSTIN,Multifamily Housing,109084,1929,3,54,929786,10338613,,,,103.3,126.3,113.5,137.6,721,6.6,41.88039405,-87.75826967,"(41.88039405, -87.75826967)"
2017,168225,2970 North Sheridan,2970 North Sheridan,60657,LAKE VIEW,Multifamily Housing,244440,1925,1,89,3920467,15157528,,,,78,115.5,83.7,121.4,1530,6.3,41.93626929,-87.63934761,"(41.93626929, -87.63934761)"
2017,251484,Jungman Elem-CPS,1746 S Miller St,60608,LOWER WEST SIDE,K-12 School,69850,1903,1,81,1311592,3887418,,,,74.4,117.4,83.7,127.9,449,6.4,41.85866305,-87.65256293,"(41.85866305, -87.65256293)"
2017,251300,2020 Lincoln Park West Condominium Association,2020 N. Lincoln Park West,60614,LINCOLN PARK,Multifamily Housing,434293,1972,1,53,7809082,31965997,,,,91.6,133.7,99.2,142.6,3141.7,7.2,41.91872919,-87.63690141,"(41.91872919, -87.63690141)"
2017,127778,Ridge Place Apartments,7115-7129 N Ridge BLVD,60645,ROGERS PARK,Multifamily Housing,51524,1960,1,,581575,2042000,,,,50.9,77.1,54.8,80.8,216,4.2,42.01182137,-87.68266061,"(42.01182137, -87.68266061)"
2017,104838,421-31 Barry,421-31 W Barry Ave.,60657,LAKE VIEW,Multifamily Housing,60472,1969,1,67,1300150,4998838,,,,104.2,154.3,110.1,159.8,505.9,8.4,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2017,124019,03477-Pueblo & Lawrence,4734 Pueblo,60656,OHARE,Supermarket/Grocery Store,52748,1965,1,86,7737839,2698600,,,,197.9,514.3,202.5,517.3,1574,29.8,41.96565014,-87.83681933,"(41.96565014, -87.83681933)"
2017,140794,(IL599) - Parc Orleans,1546 N. Orleans,60610,NEAR NORTH SIDE,Multifamily Housing,116130,2002,1,70,2953226,4243434,,,,62,118.2,66.9,126.3,771.4,6.6,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
2017,106025,Holiday Inn express Cass hotel,640 N. Wabash,60611,NEAR NORTH SIDE,Hotel,85000,1920,1,65,3681739,5293866,,,,105.6,201.4,108.9,205.4,961.9,11.3,41.89579275,-87.62247957,"(41.89579275, -87.62247957)"
2017,158414,Old Republic Building,301 317 N. Michigan Ave.,60601,LOOP,Office,219636,1925,1,84,8304883,8316600,,,,75.7,158.5,82.1,166.3,1977.3,9,41.88709131,-87.62418563,"(41.88709131, -87.62418563)"
2017,160246,Parkway Gardens,6415 S. Calumet Ave,60637,GREATER GRAND CROSSING,Multifamily Housing,938000,1952,36,90,10975104,61920679,,,,77.7,106.1,83.7,112.8,5318.1,5.7,41.7774997,-87.61708529,"(41.7774997, -87.61708529)"
2017,251965,Lake Meadows Shopping Center - (LA Fitness - Building 2),3455 S King Dr,60616,DOUGLAS,Fitness Center/Health Club/Gym,60303,2008,1,,3550858,596414,,,,68.8,195.3,69.8,195.4,688.2,11.4,41.83150912,-87.61643436,"(41.83150912, -87.61643436)"
2017,254075,JeffJack,601 West Jackson,60661,Near West Side,Multifamily Housing,195769,2015,1,54,6184001,7427651,,,,69.5,139,74.1,146.3,1537.9,7.9,41.8832102,-87.64337,"(41.8832102, -87.64337)"
2017,250001,120 North LaSalle,120 North LaSalle Street,60602,LOOP,Office,477123,1991,1,80,27322020,,,,,57.3,179.8,59.5,187,5051.7,10.6,41.88371132,-87.63248735,"(41.88371132, -87.63248735)"
2017,101557,777 State,2 East 8th St.,60605,LOOP,Multifamily Housing,264140,1985,1,2,10796650,32970986,,,,165.7,259.4,178.2,272.5,3747.5,14.2,41.871828,-87.627232,"(41.871828, -87.627232)"
2017,119799,N002304-CHICAGO (79TH & CICERO) IL,7971 SOUTH CICERO,60652,ASHBURN,Retail Store,115928,2009,1,60,8830703,,,,,76.2,239.2,76.2,239.2,1632.8,14.1,41.74665058,-87.73987193,"(41.74665058, -87.73987193)"
2017,260074,236-Senior Suites of Rainbow Beach,2804 E. 77th Place,60649,SOUTH SHORE,Senior Care Community,60500,2000,1,50,1743348,1590600,,,,55.1,118.1,55.5,119.5,406.8,6.7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
2017,101716,311 S. Wacker,311 South Wacker,60606,LOOP,Office,1433821,1990,1,80,85934393,,,,,59.9,188.2,62.5,196.2,15888.8,11.1,41.87745822,-87.63573828,"(41.87745822, -87.63573828)"
2017,252322,Lavergne Court,4938 W. Quincy Street,60644,AUSTIN,Multifamily Housing,144765,1930,6,41,2864196,11027539,,,,96,142.1,103.8,151.8,1115.3,7.7,41.8776794,-87.74812673,"(41.8776794, -87.74812673)"
2017,251333,Sanctuary Hall,2358 N. Sheffield,60614,LINCOLN PARK,College/University,103915,1989,1,,1448046,5110996,,,,63.1,95.4,68,100.5,539.2,5.2,41.924561,-87.653601,"(41.924561, -87.653601)"
2017,250087,Fannie Emanuel,3916 W. Washington,60624,WEST GARFIELD PARK,Multifamily Housing,94952,1963,1,99,1892329,2698235,,,,48.3,92.4,52.7,97,493.2,5.2,41.88234002,-87.72390213,"(41.88234002, -87.72390213)"
2017,252056,Rosenwald Hall and Walker Museum,1115-25 East 58th Street,60637,HYDE PARK,Office,102569,1893,2,,2267826,,3042312,,,68.3,121.6,,,710.6,6.9,41.78900616,-87.59865492,"(41.78900616, -87.59865492)"
2017,133957,Capitol Hill Lofts,625 W Jackson,60661,NEAR WEST SIDE,Multifamily Housing,120000,1918,1,84,2575852,4051059,,,,55.2,102.8,57.7,105,691.4,5.8,41.88321395,-87.64336601,"(41.88321395, -87.64336601)"
2017,251956,Carlson,949 E. 58th St.,60637,HYDE PARK,Laboratory,67021,1927,1,,6513170,,21336782,,,415.5,688.1,432.4,708.4,2621,39.1,41.789531,-87.602855,"(41.789531, -87.602855)"
2017,102340,Grand on Grand Condominium Association,200 W. Grand Ave.,60654,NEAR NORTH SIDE,Multifamily Housing,192102,2004,1,11,6584846,10796906,,,,90.5,166.6,96.2,172.7,1791,9.3,41.89198218,-87.63699623,"(41.89198218, -87.63699623)"
2017,103638,The Field Museum,1400 South Lake Shore Drive,60605,NEAR SOUTH SIDE,Mixed Use Property,1300557,1921,1,,70703372,86972188,,,,121.2,240.5,124.3,243.1,17649.9,13.6,41.866211,-87.61703464,"(41.866211, -87.61703464)"
2017,245071,Lake Shore Condominium Assn.,1440 N. Lake Shore Dr.,60610,NEAR NORTH SIDE,Multifamily Housing,376600,1961,1,54,7296320,23720073,,,,82.4,127,88.7,134.1,2608.9,6.9,41.90899977,-87.62663916,"(41.90899977, -87.62663916)"
2017,116336,LaSalle Private Residences,1212 N LaSalle,60610,NEAR NORTH SIDE,Multifamily Housing,367627,1986,1,39,11968559,7034709,,,,51.7,122.3,55.3,129.8,2586.6,7,41.90420084,-87.63382507,"(41.90420084, -87.63382507)"
2017,100674,The Lofts at Arthington,3301 West Arthington Street,60624,NORTH LAWNDALE,Multifamily Housing,228897,1909,2,99,2564975,8642221,,,,49,74.8,52.6,78.7,933.3,4.1,41.87000549,-87.70831909,"(41.87000549, -87.70831909)"
2017,100858,Juvenile Courthouse,2245 W. Ogden Ave.,60612,NEAR WEST SIDE,Courthouse,412596,1993,1,63,26369888,12757466,,,,94.8,233.2,99.8,238.4,5553.3,13.5,41.86761641,-87.68103599,"(41.86761641, -87.68103599)"
2017,251377,HurleyEdward-CPS,3849 W 69th Pl,60629,WEST LAWN,K-12 School,55250,1954,1,37,1903688,3565570,,,,99,176,110.3,187.8,541.4,9.8,41.76655157,-87.71928277,"(41.76655157, -87.71928277)"
2017,251950,McLean,5824 S. Ellis Ave.,60637,HYDE PARK,Laboratory,110070,1953,1,,7613960,,19701000,,,248.2,432.5,255.8,441.7,2715.9,24.7,41.789752,-87.601272,"(41.789752, -87.601272)"
2017,254316,Chicago-North,2544 West Montrose Ave,60618,Lincoln Square,Other - Specialty Hospital,148775,2000,1,,13007349,12416573,,,,170.9,362.2,178.6,369.2,3064.5,20.6,41.946621,-87.70269,"(41.946621, -87.70269)"
2017,101396,Submit 2018* - 4640 N Sheridan,4640 N. Sheridan,60608,UPTOWN,Multifamily Housing,216000,1974,1,,,,,,,,,,,,,41.96652528,-87.65508031,"(41.96652528, -87.65508031)"
2017,173907,Hampton House,1715-1733 E. 53dr St.,60615,HYDE PARK,Multifamily Housing,176450,1918,1,36,1965950,14951197,,,,95.9,124,104.6,133.4,1157.6,6.6,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2017,137570,EuroFurniture,2145 W Grand Ave,60612,WEST TOWN,Retail Store,68000,1886,1,,548986,2424669,,,,43.7,62.8,48.8,68.2,230.3,3.4,41.89052803,-87.68112699,"(41.89052803, -87.68112699)"
2017,251259,Park Lincoln by Reside,2470 N Clark Street,60614,LINCOLN PARK,Multifamily Housing,149351,1970,1,69,5138482,,,,,34.4,108,36.8,115.5,950.1,6.4,41.92731759,-87.64211119,"(41.92731759, -87.64211119)"
2017,103761,20 West Kinzie,20 West Kinzie Street,60654,NEAR NORTH SIDE,Office,393838,2000,1,61,28889425,4431473,,,,84.6,242.1,87.6,251.4,5576.9,14.2,41.88927,-87.628761,"(41.88927, -87.628761)"
2017,250075,Frank O Lowden Homes,200 W. 95TH STREET,60620,ROSELAND,Multifamily Housing,114868,1954,19,1,1846322,91453716,,,,812.2,886.4,894.5,973,5198.9,45.3,41.72174884,-87.6288572,"(41.72174884, -87.6288572)"
2017,105034,Carmen Marine Tenant Chicago Il,5030 N Marine Dr,60640,UPTOWN,Multifamily Housing,367000,1971,1,79,5609755,23671260,,,,79.8,115.7,85.6,121.8,2294.5,6.3,41.97403176,-87.65193469,"(41.97403176, -87.65193469)"
2017,252034,Center Home For Hispanic Elderly,1401 N. California Ave,60622,WEST TOWN,Senior Care Community,75000,1925,1,42,2161149,10542694,,,,169.4,238.1,172.6,240.7,959.6,12.8,41.90676046,-87.69632541,"(41.90676046, -87.69632541)"
2017,120503,1040 West Randolph,1040 West Randolph Street,60607,NEAR WEST SIDE,Mixed Use Property,55466,1932,1,,725077,1649500,,,,42.8,72.3,46.5,76.2,221.7,4,41.884368,-87.653602,"(41.884368, -87.653602)"
2017,100395,Daley,7500 South Pulaski Ave,60652,WEST LAWN,College/University,501591,1970,9,,13753042,17161844,,,,61.6,122,65.5,126.1,3454.4,6.9,41.75629268,-87.72224,"(41.75629268, -87.72224)"
2017,251758,Perspectives Charter Schools - Math & Science Academy,3663 S Wabash Ave,60653,DOUGLAS,K-12 School,70000,1967,1,55,2032225,7345660,,,,134,201.3,146.9,215,765.9,10.9,41.82812836,-87.62440271,"(41.82812836, -87.62440271)"
2017,252067,"SV Care (Southview Manor, Inc.)",3311 S. Michigan Ave.,60616,DOUGLAS,Senior Care Community,54931,1976,1,51,1908383,5563420,,,,136,215.4,143.2,222,648.3,11.8,41.83416616,-87.62294005,"(41.83416616, -87.62294005)"
2017,251719,Falconer Ele-CPS,3020 N Lamon Ave,60641,BELMONT CRAGIN,K-12 School,165513,1919,1,71,4301410,6783882,,,,67,124.6,74.1,132.1,1155.6,7,41.93560317,-87.74994734,"(41.93560317, -87.74994734)"
2017,140247,3371,3443 W Addison,60618,AVONDALE,Retail Store,113573,1984,1,84,4096829,492600,,,,40.4,117.8,40.4,117.8,783.6,6.9,41.94672055,-87.70319673,"(41.94672055, -87.70319673)"
2017,135080,537 S. Dearborn St.,537 S. Dearborn St.,60605,LOOP,Multifamily Housing,78000,1892,1,60,2332522,1440504,,,,48.4,113.3,51.3,118.6,507.8,6.5,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
2017,236816,401 East Ontario Condominiums,401 East Ontario,60611,NEAR NORTH SIDE,Multifamily Housing,450000,1988,1,87,5804866,23530215,,,,65.2,95.4,70.6,101.1,2323.1,5.2,41.89320725,-87.61690825,"(41.89320725, -87.61690825)"
