Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2018,229402,1101 S. State Street,Submitted,1101 S. State Street,60605,4.0,false,LOOP,Multifamily Housing,542774,2005,1,344,100,1751191.9,25237999.3,,,,49.7,57.9,48.8,56.9,1631.8,3,41.86838196,-87.62701601,"(41.86838196, -87.62701601)"
2018,160343,100 W. Chestnut St.,Submitted,100 W. Chestnut St.,60642,3.5,false,NEAR NORTH SIDE,Multifamily Housing,292445,1983,1,10642,72,7487309.9,13089297.5,,,,70.4,118.7,69.4,116,1940.9,6.6,41.898007,-87.6314,"(41.898007, -87.6314)"
2018,172557,T.E. Brown Apartments,Submitted,3601 S. Wells,60609,1.0,false,ARMOUR SQUARE,Multifamily Housing,87527,1975,1,3538,2,6998844.5,846963,,,,89.6,234.1,90.8,237.4,1209.3,13.8,41.81195152,-87.65512794,"(41.81195152, -87.65512794)"
2018,149143,The Residences at 950 West Monroe,Submitted,950 W Monroe St,60607,2.5,false,NEAR WEST SIDE,Multifamily Housing,123391,2005,1,3249,54,4012785,6083975,,,,81.8,142.8,81.3,141.4,990.7,8,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2018,160214,Children's Memorial Hospital sub-building,Exempt,700 W Fullerton Ave,60614,,true,LINCOLN PARK,,257400,,1,,,,,,,,,,,,,,41.92548708,-87.64643712,"(41.92548708, -87.64643712)"
2018,238910,(IL505) - Lake Point Tower Condominium Association,Submitted,505 N. Lake Shore Drive,60611,3.5,false,NEAR NORTH SIDE,Multifamily Housing,1705000,1968,1,34340,60,61462437.3,26466900,,,,51.6,117.2,50.6,115.1,11630.9,6.8,41.89150137,-87.61230249,"(41.89150137, -87.61230249)"
2018,156609,Wicker Park Commons (Lowes),Submitted,1360 N. Ashland Avenue,60622,1.5,false,WEST TOWN,Retail Store,67000,1990,1,443,36,3461091.9,1535922.1,,,,74.6,168.7,73.8,166.3,657.4,9.8,41.90656367,-87.66882411,"(41.90656367, -87.66882411)"
2018,160243,Arkadia Tower,Submitted,765 West Adams Street,60661,4.0,false,NEAR WEST SIDE,Multifamily Housing,352027,2015,1,10681,94,7786856.2,11741600.6,,,,55.5,97,55.1,95.7,1919.1,5.5,41.87911301,-87.64651787,"(41.87911301, -87.64651787)"
2018,260149,Riverside Square & River's Edge,Submitted,3145 South Ashland,60608,3.5,false,MCKINLEY PARK,Supermarket/Grocery Store,74495,1987,1,12479,60,9791651.8,2630900,,,,166.8,405.1,166.8,405.1,1768.7,23.7,41.8365795,-87.66384491,"(41.8365795, -87.66384491)"
2018,150282,The Royalle Condominium Association,Submitted,744 N. Clark St.,60654,1.0,false,NEAR NORTH SIDE,Multifamily Housing,77800,2003,1,2073,28,2640069.1,3607416.3,,,,80.3,143.7,80.3,142.4,630.8,8.1,41.89198218,-87.63699623,"(41.89198218, -87.63699623)"
2018,165328,2750 W Roosevelt Rd,Submitted,2750 W Roosevelt Rd,60608,3.5,false,NORTH LAWNDALE,Residence Hall/Dormitory,121626,2006,1,6066,70,6120524.1,72406.3,,,,50.9,141.5,50.8,141.1,1022.1,8.4,41.86684596,-87.69530763,"(41.86684596, -87.69530763)"
2018,175526,,Exempt,8101 8125 S INGLESIDE AVE,60619,,true,CHATHAM,,95925,,1,2603,,,,,,,,,,,,,41.74401302,-87.60549928,"(41.74401302, -87.60549928)"
2018,124308,Walmart Supercenter #01-5965,Submitted,10900 S. Doty Avenue,60628,1.0,false,PULLMAN,Wholesale Club/Supercenter,155765,2013,1,4739,12,14404628.1,7780811.9,,,,142.4,311.4,140.8,309.3,2809.7,18,41.693399,-87.598728,"(41.693399, -87.598728)"
2018,175905,"HI Chicago, The J. Ira and Nicki Harris Family Hostel",Submitted,24 East Congress Parkway,60605,1.0,false,LOOP,Hotel,100535,1880,1,4503,6,9436261.3,4178010.2,,,,135.4,306.4,134.7,305.6,1791.8,17.8,41.87588999,-87.62653046,"(41.87588999, -87.62653046)"
2018,173476,St. Demetrios Greek Orthodox Church,Submitted,2727 W Winona ST,60625,2.0,false,LINCOLN SQUARE,Worship Facility,63141,1924,1,190,46,789309.2,3154764.4,,,,62.5,87.5,60.7,85.6,298.9,4.7,41.97419798,-87.696868,"(41.97419798, -87.696868)"
2018,102397,,Exempt,1734 N PAULINA ST,60622,,true,WEST TOWN,,95110,,1,5940,,,,,,,,,,,,,41.90225377,-87.68447845,"(41.90225377, -87.68447845)"
2018,100179,Saint Anthony Hospital - Main Hospital,Submitted,2875 West 19th Street,60623,2.5,false,SOUTH LAWNDALE,Hospital (General Medical & Surgical),239057,1897,1,16992,56,24686396.6,40586862.8,,,,273,467.4,269.6,462.4,6262.7,26.2,41.85513555,-87.6978405,"(41.85513555, -87.6978405)"
2018,251869,Albany Square,Not Submitted,4445 N PULASKI RD,60630,0.0,false,ALBANY PARK,,137971,,1,3762,,,,,,,,,,,,,41.96196559,-87.72736836,"(41.96196559, -87.72736836)"
2018,159245,Maple Pointe Apartments,Exempt,150 W Maple St,60610,,true,NEAR NORTH SIDE,,207540,,1,15792,,,,,,,,,,,,,41.90205446,-87.63398256,"(41.90205446, -87.63398256)"
2018,250040,Chicago High-CPS,Submitted,3807 W 111th St,60655,1.0,false,MOUNT GREENWOOD,K-12 School,192250,1997,1,9410,19,11446574.2,11673941,,,,120.3,230.5,117.8,227.6,2524.4,13.1,41.6903803,-87.71714665,"(41.6903803, -87.71714665)"
2018,254077,South Commons - 3021 S Michigan,Submitted,3021 S Michigan Ave,60616,3.5,false,Douglas,Multifamily Housing,67133,1964,1,,79,1070477.5,5657100.2,,,,100.2,133.1,101.7,134.7,478.6,7.1,41.8458598,-87.62921,"(41.8458598, -87.62921)"
2018,251294,954 W Washington Blvd,Submitted,954 W Washington Blvd,60607,4.0,false,NEAR WEST SIDE,Office,140000,1889,1,451,94,2222096.4,3161599.8,,,,38.5,68.2,37,65.9,537.6,3.8,41.88352088,-87.65172304,"(41.88352088, -87.65172304)"
2018,134136,Jenkins Hall 171 W. Oak,Submitted,171 W. Oak,60610,4.0,false,NEAR NORTH SIDE,College/University,164122,1977,1,6403,,2146615.4,9481299.6,,,,70.8,97.3,71.2,97.7,860.7,5.2,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
2018,160262,Dearborn Homes,Submitted,2960 S. FEDERAL STREET,60616,1.0,false,DOUGLAS,Multifamily Housing,706989,1950,16,63,24,23269816.1,60334516,,,,118.3,181.8,118.7,180.7,7075.9,10,41.84018052,-87.62932246,"(41.84018052, -87.62932246)"
2018,251545,Metcalfe Mat-CPS,Submitted,12339 S Normal Ave,60628,2.0,false,WEST PULLMAN,K-12 School,81370,1980,1,1596,46,2202246.7,3987406.4,,,,76.1,127.2,73.8,124.8,578.2,7.1,41.66947303,-87.63400634,"(41.66947303, -87.63400634)"
2018,242048,3550 N Lake Shore Drive,Submitted,3550 N Lake Shore Dr.,60657,4.0,false,LAKE VIEW,Multifamily Housing,683035,1962,1,23526,74,12737709.1,43435002.4,,,,82.2,119,82.4,119.2,4426.1,6.5,41.94795804,-87.64383164,"(41.94795804, -87.64383164)"
2018,104250,544 W. Melrose St.,Submitted,544 W. Melrose St.,60657,2.5,false,LAKE VIEW,Multifamily Housing,50589,1967,1,2259,52,915664.8,3452694.8,,,,86.3,122.3,87.3,123.2,335.7,6.6,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2018,251231,The Scott Residences,Submitted,211 W Scott,60610,2.0,false,NEAR NORTH SIDE,Multifamily Housing,72639,2014,1,2371,17,3887704.5,2629330,,,,89.7,187.9,88.7,184.2,786.4,10.8,41.90492512,-87.63490115,"(41.90492512, -87.63490115)"
2018,104263,444-454 W. Melrose St.,Submitted,450 W. Melrose St.,60657,2.5,false,LAKE VIEW,Multifamily Housing,57863,1967,1,3641,52,893176.3,4384713.7,,,,91.2,122.8,92.4,123.9,381.5,6.6,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2018,228455,Hemingway House Condominium Association,Submitted,1850 N. Clark Street,60614,1.0,false,LINCOLN PARK,Multifamily Housing,192100,1969,1,,14,6524402.5,21678503.8,,,,146.8,213.6,148.5,215.2,2236.9,11.6,41.91645312,-87.63490931,"(41.91645312, -87.63490931)"
2018,159567,The Kent Apartments,Submitted,2625 N Clark St,60614,3.5,false,LINCOLN PARK,Multifamily Housing,150000,1986,1,2217,60,5702943,1181550.6,,,,45.9,114.7,44.2,109.9,1011.5,6.7,41.93060346,-87.64287601,"(41.93060346, -87.64287601)"
2018,160204,4025 West Peterson Ave,Not Submitted,4025 W Peterson Ave,60646,0.0,false,NORTH PARK,,212800,,1,446,,,,,,,,,,,,,41.99010152,-87.72974021,"(41.99010152, -87.72974021)"
